title,timestamp_first,timestamp_end,def_first,def_end,label,comment
The 5th Dimension,2021-09-06T14:01:55Z,2021-09-26T06:55:24Z,"The 5th Dimension is an American popular music vocal group, whose repertoire includes pop, R&B, soul, jazz, light opera and Broadway - referred to as ""champagne soul"".","The 5th Dimension is an American popular music vocal group known for their melange of pop, R&B, soul, jazz, light opera and Broadway music.",0,
Louis Dupree (professor),2021-09-14T04:22:23Z,2021-09-14T12:09:29Z,"Louis Dupree was an American archaeologist, anthropologist, and scholar of Afghan culture and history.","Louis Dupree was an American archaeologist, anthropologist, and scholar of Afghan culture and history.",0,
Konux,2021-09-29T09:21:27Z,2021-09-30T16:01:59Z,"KONUX is a German AI/IoT company that uses machine learning and Industrial IoT to deliver Software-as-a-Service solutions for operation, monitoring, and maintenance process automation.","Konux is a German AI/IoT company that combines machine learning and Industrial IoT to deliver Software-as-a-Service (SaaS) solutions for operation, monitoring, and maintenance process automation.",0,
Portrait of Mlle. Lange as Danae,2021-09-07T07:15:48Z,2021-10-01T23:12:04Z,"Girodet's painting of Mlle Lange as Danaë was commissioned by Madame Simons, Miss Lange's newlywed husband, and showcased at the Paris Salon of 1799.",Girodet and Lange first met at the Salon of 1793 and Girodet had gained notoriety for his submission Endymion.,0,
Daffney,2021-09-02T02:23:45Z,2021-10-01T21:36:50Z,"Shannon Claire Spruill is an American retired professional wrestler, valet, and actress, best known by her ring name Daffney.","Shannon Claire Spruill was an American professional wrestler, wrestling manager and actress better known by her ring name Daffney who began her professional wrestling career in World Championship Wrestling (WCW) in 1999.",0,
"Stillwater, Oklahoma",2021-09-06T17:45:19Z,2021-09-09T01:02:34Z,"Stillwater is a city in Payne County, Oklahoma, United States, located at the intersection of U.S. Route 177 and State Highway 51, with a population of 45,688 according to the 2010 census.","Stillwater is a city in Payne County, Oklahoma, United States.",0,
The Weeknd,2021-09-01T14:53:39Z,2021-10-01T16:50:22Z,"The Weeknd is a Canadian singer, songwriter and record producer born in Toronto and raised in Scarborough.","Abel Makkonen Tesfaye (born February 16, 1990), known professionally as the Weeknd (pronounced ""weekend""), is a Canadian singer, songwriter and record producer.",0,
Never Say Never Again,2021-09-07T17:41:48Z,2021-10-01T12:13:28Z,"Never Say Never Again is a 1983 spy film starring Sean Connery and directed by Irvin Kershner, based on the 1961 James Bond novel Thunderball.","Never Say Never Again is a 1983 spy film directed by Irvin Kershner, based on the 1961 James Bond novel Thunderball by Ian Fleming.",0,
Ivan Bakaidov,2021-09-10T16:43:39Z,2021-09-12T17:27:30Z,"Ivan Bakaidov (Russian: Ива́н Алекса́ндрович Бака́идов, 6 october, 1998, Sankt-Peterburg, Russia) — Russian programmer and public figure, blogger. ","Ivan Bakaidov is a Russian programmer and blogger who was born in St. Petersburg, Russia in 1998 and has been nominated for the UN World Summit Awards and included in the list of 50 most famous people of St. Petersburg and in the list of nominees for the thirty most promising Russians under 30 years of age by Forbes.",1,
Francis Dubreuil,2021-09-17T18:56:41Z,2021-09-19T09:52:35Z,"Francis Dubreuil (1842–1916) was a French rose breeder and nursery owner from Lyon, France","Francis Dubreuil (1842–1916) was a French rose breeder and nursery owner from Lyon, France.",0,
Ludovic Orban,2021-09-25T15:58:55Z,2021-09-27T19:06:06Z,Ludovic Orban is a Romanian engineer and politician who served as the Prime Minister of Romania from November 2019 to December 2020.,Ludovic Orban is a Romanian engineer and politician who served as the Prime Minister of Romania from November 2019 to December 2020.,0,
Robbie Dale,2021-09-01T17:05:25Z,2021-09-07T15:30:08Z,Robbie Dale (real name Robbie Robinson) 'The Admiral' was a chief DJ on the offshore pirate radio ship Radio Caroline and one of the DJs on Radio Caroline when the Marine Broadcasting Offences Act came into effect.,"Robbie Robinson (21 April 1940 – 31 August 2021), better known by the name Robbie Dale and nicknamed The Admiral, was a British radio disc jockey who was the chief DJ of Radio Caroline during the 1960s.",0,
Ceres (dwarf planet),2021-09-02T19:30:19Z,2021-10-01T21:01:09Z,"Ceres is a dwarf planet which is the smallest recognized dwarf planet and the only one inside Neptune's orbit, with a diameter of 940 km (580 mi).","Ceres is a dwarf planet located in the asteroid belt between the orbits of Mars and Jupiter, with a diameter of 940 km (580 mi), and is too dim to be seen with the naked eye, except under extremely dark skies.",1,
BMO Tower (Milwaukee),2021-10-01T11:39:49Z,2021-10-01T12:23:13Z,"The BMO Harris Financial Center at Market Square in Milwaukee, Wisconsin is a 25-story office tower with a total cost of $175 million.","BMO Tower is a 25-story, 328-foot tower in Milwaukee, Wisconsin completed in April 2020.",0,
Philip K. Dick,2021-09-03T01:56:15Z,2021-09-30T21:09:30Z,Philip Kindred Dick was an American science fiction writer who wrote 44 novels and about 121 short stories.,Philip Kindred Dick was an American science fiction writer who explored varied philosophical and social themes in his fiction.,0,
David Ellefson,2021-09-01T21:46:52Z,2021-10-01T09:51:30Z,David Warren Ellefson is an American musician who was the bassist and co-founder of the heavy metal band Megadeth from 1983 to 2002 and again from 2010 to 2021.,"Ellefson was the bassist and co-founder of the thrash metal band Megadeth from 1983 to their breakup in 2002, and again from 2010 to 2021.",1,
Twinkie,2021-09-01T11:38:50Z,2021-09-27T16:53:01Z,"Twinkies are an American snack cake, made and distributed by Hostess Brands, Inc. and Grupo Bimbo's Vachon Inc.","Twinkie is an American snack cake described as ""golden sponge cake with a creamy filling"".",0,
Dolly (sheep),2021-09-10T17:26:28Z,2021-09-22T00:04:57Z,"Dolly was the first mammal cloned from an adult somatic cell, proving that a cloned organism could be produced from a mature cell from a specific body part.",Dolly was the first mammal cloned from an adult somatic cell using nuclear transfer from a cell taken from a mammary gland.,0,
Iyarkai,2021-09-05T22:25:54Z,2021-09-08T10:47:27Z,"Iyarkai (pronunciation (help·info), transl. Nature) (spelt Eiyarkai onscreen) is a 2003 Indian Tamil-language romance film written and directed by S. P. Jananathan in his directorial debut and produced by V. R. Kumar, A. E. Gunasekaran, and G. Natarajan for Prisam Films.","Iyarkai (pronounced (help·info), meaning Nature) is a 2003 Indian Tamil-language romance film written and directed by S. P. Jananathan.",0,
William Kemmler,2021-09-03T23:42:58Z,2021-09-21T20:22:57Z,"William Francis Kemmler was the first person in the world to be executed by electric chair, after being convicted of murdering his common-law wife.","William Francis Kemmler was the first person in the world to be executed by electric chair in 1890, having been convicted of murdering his common-law wife two years earlier.",0,
Raniganj,2021-09-02T06:28:10Z,2021-09-28T10:10:09Z,Raniganj is a neighbourhood in Asansol of the Paschim Bardhaman district in the Indian state of West Bengal.,Raniganj is a neighbourhood in Asansol of Paschim Bardhaman district in the Indian state of West Bengal located at 23°37'N 87°08'E with an average elevation of 91 metres (298 feet).,0,
Rochester Philharmonic Orchestra,2021-09-05T15:32:30Z,2021-09-21T17:49:14Z,"The Rochester Philharmonic Orchestra (RPO) is an American orchestra based in the city of Rochester, New York.","he Rochester Philharmonic Orchestra (RPO) is an American orchestra based in the city of Rochester, New York.",0,
Rahimullah Yusufzai,2021-09-09T15:42:54Z,2021-09-17T13:47:58Z,"Rahimullah Yusufzai is a Pakistani journalist, political and security analyst, best known for having interviewed Osama bin Laden and Afghan Taliban leader Mullah Omar.","Rahimullah Yusufzai was a Pakistani journalist, political and security analyst, war correspondent, and best known for having interviewed Osama bin Laden and Afghan Taliban leader Mullah Omar.",1,
Wu Qiang (officeholder),2021-09-11T08:57:37Z,2021-09-11T22:04:32Z,Wu Qiang is a Chinese politician currently serving as the Communist Party Secretary of Bijie and Secretary General of the CPC Guizhou Provincial Committee.,Wu Qiang is a Chinese politician currently serving as party secretary of Bijie and secretary general of the CPC Guizhou Provincial Committee.,0,
Philippa Mary Hoskin,2021-09-15T03:39:46Z,2021-09-15T14:38:23Z,"Hoskin is a British historian of the English Middle Ages specializing in the religious, legal and administrative history of the English Church.","Hoskin is a British historian specializing in the religious, legal and administrative history of the English Church.",0,
Queen Inyeol,2021-09-03T22:52:34Z,2021-09-29T08:26:25Z,"Queen Inyeol was the wife and first queen consort of Injo of Joseon, the 16th Joseon monarch.","Queen Inyeol (Korean: 인열왕후 한씨; Hanja: 仁烈王后 韓氏; 16 August 1594 – 16 January 1636) of the Cheongju Han clan, was a posthumous name bestowed to the wife and first queen consort of Injo of Joseon, the 16th Joseon monarch.",0,
Phil Schaap,2021-09-08T03:48:55Z,2021-09-28T19:21:43Z,"Schaap is an American jazz disc jockey, historian, archivist, and producer who has won several Grammy Awards.","Philip van Noorden Schaap was an American radio host who specialized in jazz as a broadcaster, historian, archivist, and producer.",1,
Dominique Rocheteau,2021-09-22T17:21:02Z,2021-09-22T17:51:22Z,"Rocheteau was a sinuous and incisive outside right who was nicknamed l'Ange Vert (""The Green Angel"").",Rocheteau was a French former professional footballer who played as a winger and was part of the team that won UEFA Euro 1984.,1,
Igbo people,2021-09-02T15:41:41Z,2021-09-16T00:03:32Z,The Igbo people are an ethnic group native to present-day south-central and southeastern Nigeria.,The Igbo people are an ethnic group native to present-day south-central and southeastern Nigeria.,0,
Kenneth Victor Young,2021-09-02T19:37:46Z,2021-09-02T23:46:27Z,Kenneth Victor Young was an American artist associated with the Washington Color School art movement.,"Kenneth Victor Young was an American artist, educator, and designer associated with the Washington Color School art movement.",0,
Syed Ali Shah Geelani,2021-09-01T17:54:29Z,2021-09-27T14:53:10Z,"Syed Ali Shah Geelani was a pro-Pakistani Kashmiri separatist leader in the Indian union territory of Jammu and Kashmir and served as the chairman of All Parties Hurriyat Conference, a conglomerate of pro-separatist parties.","Syed Ali Shah Geelani was an Islamist, pro-Pakistani separatist leader in Jammu and Kashmir, regarded as the father of the Kashmiri jihad.",0,
Southern bluefin tuna,2021-09-02T23:18:59Z,2021-09-04T14:44:57Z,Southern Bluefin Tuna is a species of tuna in the family Scombridae found in open southern Hemisphere waters of all the world's oceans.,"The southern bluefin tuna (Thunnus maccoyii) is a tuna of the family Scombridae found in open southern Hemisphere waters of all the world's oceans mainly between 30°S and 50°S, to nearly 60°S.",0,
Victoria Samanidou,2021-09-27T22:20:53Z,2021-10-01T13:40:58Z,Victoria F. Samanidou is a Greek analytical chemist who focuses on the development of new analytical methods for the determination of food and pharmaceuticals.,Victoria F. Samanidou is a Greek analytical chemist and professor at Aristotle University of Thessaloniki.,0,
